Wall time,Step,Value
1713860040.140357,1858740,9.816307067871094
1713860040.140751,1858761,7.553266525268555
1713860040.141047,1858761,9.858524322509766
1713860040.141342,1858767,10.0
1713860040.14165,1858818,9.47099494934082
1713860040.141961,1858827,9.583117485046387
1713860040.142266,1858842,9.958667755126953
1713860040.142553,1858848,8.40561580657959
1713860400.026243,1858860,9.93349838256836
1713860400.028092,1858893,9.754556655883789
1713860400.029095,1858905,9.303472518920898
1713860400.029844,1858914,9.645150184631348
1713860400.031104,1858929,9.791659355163574
1713860400.033353,1858929,9.894359588623047
1713860400.034157,1858938,9.897127151489258
1713860400.035309,1858950,9.912757873535156
1713860400.036541,1858971,9.82145881652832
1713860400.038195,1858974,9.76285457611084
1713860400.039367,1858995,9.727238655090332
1713860400.039969,1859007,9.852289199829102
1713860400.040584,1859058,9.313502311706543
1713860400.041357,1859067,9.22620964050293
1713860400.041944,1859076,9.347070693969727
1713860400.042842,1859079,-2.9334826469421387
1713860400.043414,1859079,9.970459938049316
1713860400.044026,1859109,9.808155059814453
1713860400.044385,1859115,9.81236743927002
1713860400.045057,1859121,9.964094161987305
1713860400.045594,1859136,9.142834663391113
1713860400.046316,1859148,9.367886543273926
1713860400.046881,1859148,9.803109169006348
1713860400.047368,1859160,9.96630573272705
1713860400.047779,1859172,9.920561790466309
1713860400.048223,1859178,9.758105278015137
1713860400.048686,1859205,9.740584373474121
1713860400.049169,1859208,9.809999465942383
1713860400.049708,1859220,9.950124740600586
1713860400.050098,1859226,10.0
1713860400.050715,1859235,9.865727424621582
1713860400.051264,1859244,8.917603492736816
1713860400.051952,1859256,-2.1664042472839355
1713860400.052487,1859271,9.879801750183105
1713860400.053055,1859283,9.607697486877441
1713860400.053866,1859286,9.947144508361816
1713860400.054504,1859307,8.77834701538086
1713860400.054936,1859316,9.867749214172363
1713860400.0556,1859331,9.720165252685547
1713860400.056069,1859358,9.804875373840332
1713860400.056425,1859364,10.0
1713860400.056723,1859370,10.0
1713860400.056993,1859376,8.263997077941895
1713860400.057265,1859376,10.0
1713860400.057568,1859385,9.639549255371094
1713860400.057832,1859409,9.906214714050293
1713860400.058098,1859424,9.654346466064453
1713860400.058359,1859424,9.691366195678711
1713860400.058682,1859433,9.876995086669922
1713860400.058961,1859445,9.92789077758789
1713860400.059242,1859466,9.796028137207031
1713860400.059514,1859478,8.147758483886719
1713860400.059837,1859481,9.958561897277832
1713860400.060115,1859487,9.741121292114258
1713860400.060385,1859499,9.933855056762695
1713860400.060656,1859505,9.943144798278809
1713860400.060942,1859514,9.818086624145508
1713860400.061223,1859532,9.930498123168945
1713860400.061491,1859544,9.777585983276367
1713860400.061769,1859550,9.995039939880371
1713860400.062061,1859559,-2.43027400970459
1713860400.062332,1859565,10.0
1713860400.062595,1859586,9.655426979064941
1713860400.062867,1859595,7.095598220825195
1713860400.063167,1859610,9.770711898803711
1713860400.063438,1859616,10.0
1713860400.063697,1859619,9.901580810546875
1713860400.063966,1859646,9.10003662109375
1713860400.064253,1859658,9.973262786865234
1713860400.064525,1859691,9.498852729797363
1713860400.064784,1859709,9.25617790222168
1713860400.065059,1859718,9.599766731262207
1713860400.065357,1859724,9.994410514831543
1713860400.06563,1859724,-3.619074821472168
1713860400.065889,1859766,9.748397827148438
1713860400.066164,1859775,9.592832565307617
1713860400.06647,1859781,10.0
1713860400.066736,1859781,9.950654983520508
1713860400.066996,1859796,9.445972442626953
1713860400.067275,1859811,9.864791870117188
1713860400.067598,1859814,9.827226638793945
1713860400.067876,1859841,9.865165710449219
1713860400.068135,1859841,9.88297176361084
1713860400.06841,1859847,9.691040992736816
1713860400.068694,1859874,9.745569229125977
1713860400.068981,1859889,9.120133399963379
1713860400.069244,1859907,9.944418907165527
1713860400.069528,1859913,9.99736213684082
1713860400.069816,1859955,9.74290657043457
1713860400.070086,1859964,-5.972253799438477
1713860400.070344,1859982,8.75467586517334
1713860400.070638,1860015,9.821072578430176
1713860400.070938,1860027,4.491368293762207
1713860400.071217,1860033,10.0
1713860400.071491,1860048,8.251675605773926
1713860400.071764,1860054,9.903653144836426
1713860400.072029,1860063,9.728832244873047
1713860400.072304,1860081,9.794401168823242
1713860400.072563,1860096,9.817182540893555
1713860400.072846,1860108,9.858959197998047
1713860400.073151,1860111,9.643373489379883
1713860400.073427,1860126,-2.0622971057891846
1713860400.073692,1860141,9.703154563903809
1713860400.074027,1860150,9.899079322814941
1713860400.074317,1860156,9.96197509765625
1713860400.074591,1860159,9.713112831115723
1713860400.074853,1860189,9.270967483520508
1713860400.075157,1860195,9.766887664794922
1713860400.075433,1860204,9.768451690673828
1713860400.075696,1860222,-5.539316654205322
1713860400.075961,1860252,9.872711181640625
1713860400.076255,1860258,10.0
1713860400.076564,1860270,9.481311798095703
1713860400.076825,1860276,5.93255615234375
1713860400.077089,1860306,9.828259468078613
1713860400.077401,1860315,9.219123840332031
1713860400.077708,1860321,9.628010749816895
1713860400.077975,1860342,9.848175048828125
1713860400.078267,1860342,9.88956356048584
1713860400.078561,1860348,9.903282165527344
1713860400.078873,1860369,9.866375923156738
1713860400.079136,1860420,9.71805191040039
1713860400.079454,1860423,9.541794776916504
